iter	Passed	Remaining
906	44022	4513
907	44073	4465
908	44127	4417
909	44179	4369
910	44233	4321
911	44284	4273
912	44339	4225
913	44396	4177
914	44447	4128
915	44499	4080
916	44552	4032
917	44604	3984
918	44651	3935
919	44701	3887
920	44748	3838
921	44798	3789
922	44847	3741
923	44898	3692
924	44947	3644
925	44997	3595
926	45044	3547
927	45091	3498
928	45138	3449
929	45185	3401
930	45231	3352
931	45278	3303
932	45325	3254
933	45373	3206
934	45438	3158
935	45485	3110
936	45538	3061
937	45599	3014
938	45653	2965
939	45713	2917
940	45795	2871
941	45856	2823
942	45916	2775
943	45979	2727
944	46042	2679
945	46098	2631
946	46152	2582
947	46209	2534
948	46272	2486
949	46324	2438
950	46375	2389
951	46424	2340
952	46474	2292
953	46524	2243
954	46576	2194
955	46627	2146
956	46676	2097
957	46725	2048
958	46775	1999
959	46823	1950
960	46874	1902
961	46922	1853
962	46970	1804
963	47020	1755
964	47078	1707
965	47125	1658
966	47174	1609
967	47221	1561
968	47269	1512
969	47316	1463
970	47367	1414
971	47415	1365
972	47464	1317
973	47514	1268
974	47561	1219
975	47611	1170
976	47659	1121
977	47707	1073
978	47754	1024
979	47803	975
980	47851	926
981	47900	878
982	47947	829
983	47996	780
984	48046	731
985	48096	682
986	48144	634
987	48194	585
988	48241	536
989	48291	487
990	48337	438
991	48385	390
992	48433	341
993	48481	292
994	48531	243
995	48578	195
996	48625	146
997	48674	97
998	48731	48
999	48788	0
